time,sampling,quantize,encode
0.632,4.524,115,01110011
0.633,4.382,112,01110000
0.634,4.222,108,01101100
0.635,4.045,103,01100111
0.636,3.853,98,01100010
0.637,3.645,93,01011101
0.638,3.423,87,01010111
0.639,3.187,81,01010001
0.64,2.939,75,01001011
0.641,2.679,68,01000100
0.642,2.409,61,00111101
0.643,2.129,54,00110110
0.644,1.841,47,00101111
0.645,1.545,39,00100111
0.646,1.243,31,00011111
0.647,0.937,23,00010111
0.648,0.627,16,00010000
0.649,0.314,8,00001000
0.65,0.0,0,00000000
0.651,-0.314,-9,11110111
0.652,-0.627,-17,11101111
0.653,-0.937,-24,11101000
0.654,-1.243,-32,11100000
0.655,-1.545,-40,11011000
0.656,-1.841,-48,11010000
0.657,-2.129,-55,11001001
0.658,-2.409,-62,11000010
0.659,-2.679,-69,10111011
0.66,-2.939,-76,10110100
0.661,-3.187,-82,10101110
0.662,-3.423,-88,10101000
0.663,-3.645,-94,10100010
0.664,-3.853,-99,10011101
0.665,-4.045,-104,10011000
0.666,-4.222,-109,10010011
0.667,-4.382,-113,10001111
0.668,-4.524,-116,10001100
0.669,-4.649,-120,10001000
0.67,-4.755,-122,10000110
0.671,-4.843,-124,10000100
0.672,-4.911,-126,10000010
0.673,-4.961,-127,10000001
0.674,-4.99,-128,10000000
0.675,-5.0,-128,10000000
0.676,-4.99,-128,10000000
0.677,-4.961,-127,10000001
0.678,-4.911,-126,10000010
0.679,-4.843,-124,10000100
0.68,-4.755,-122,10000110
0.681,-4.649,-120,10001000
0.682,-4.524,-116,10001100
0.683,-4.382,-113,10001111
0.684,-4.222,-109,10010011
0.685,-4.045,-104,10011000
0.686,-3.853,-99,10011101
0.687,-3.645,-94,10100010
0.6880000000000001,-3.423,-88,10101000
0.6890000000000001,-3.187,-82,10101110
0.6900000000000001,-2.939,-76,10110100
0.6910000000000001,-2.679,-69,10111011
0.6920000000000001,-2.409,-62,11000010
0.6930000000000001,-2.129,-55,11001001
0.6940000000000001,-1.841,-48,11010000
0.6950000000000001,-1.545,-40,11011000
0.6960000000000001,-1.243,-32,11100000
0.6970000000000001,-0.937,-24,11101000
0.6980000000000001,-0.627,-17,11101111
0.6990000000000001,-0.314,-9,11110111
0.7000000000000001,0.0,0,00000000
0.7010000000000001,0.314,8,00001000
0.7020000000000001,0.627,16,00010000
0.7030000000000001,0.937,23,00010111
0.704,1.243,31,00011111
0.705,1.545,39,00100111
0.706,1.841,47,00101111
0.707,2.129,54,00110110
0.708,2.409,61,00111101
0.709,2.679,68,01000100
0.71,2.939,75,01001011
0.711,3.187,81,01010001
0.712,3.423,87,01010111
0.713,3.645,93,01011101
0.714,3.853,98,01100010
0.715,4.045,103,01100111
0.716,4.222,108,01101100
0.717,4.382,112,01110000
0.718,4.524,115,01110011
0.719,4.649,119,01110111
0.72,4.755,121,01111001
0.721,4.843,123,01111011
0.722,4.911,125,01111101
0.723,4.961,127,01111111
0.724,4.99,127,01111111
0.725,5.0,127,01111111
0.726,4.99,127,01111111
0.727,4.961,127,01111111
0.728,4.911,125,01111101
0.729,4.843,123,01111011
0.73,4.755,121,01111001
0.731,4.649,119,01110111
0.732,4.524,115,01110011
0.733,4.382,112,01110000
0.734,4.222,108,01101100
0.735,4.045,103,01100111
